Citizen_ID,Area_Sector,Issue_Type,Complaint_Text,Severity_Level,Reported_Time,Resolution_Time_Hours,Assigned_Department,Satisfaction_Rating,Followup_Required,Latitude,Longitude,AI_Priority_Score
C1000,C2,Garbge,Leave past space behind almost same million recently state ability cut check room cup.,Hi,09-07-2025 23:27,54,Clean Dept,4,Yes,19.253373,72.905014,0.2
C1001,A1,WiFiIssu,They above story will similar member message space garden reveal article care drop.,,24-07-2025 04:23,999,Elect Dept,1,Yes,19.00265,73.032622,0.77
C1002,C1,Trafic,Five stage clear discuss training long go character knowledge yard shake gun area foot serve on.,Critcal,13-02-2025 08:51,84,SmartWifiDept,2,Yes,19.253647,72.963361,0.16
C1003,A1,WiFiIssu,Certain maintain effect after official produce team most beautiful.,Lo,10-02-2025 20:31,114,Watr Dept,2,Yes,19.019061,72.903798,0.48
C1004,D1,Trafic,Prepare stand enjoy kind memory purpose carry start stand audience a know truth appear.,Lo,05-11-2025 23:16,999,Watr Dept,4,No,19.051554,73.01895,0.06
C1005,A1,Pothl,Clearly fall right success treat strong likely go.,Lo,15-11-2025 20:52,72,Clean Dept,1,Yes,19.182599,72.975922,0.99
C1006,D2,Garbge,State of alone model away through heart know whatever prevent.,,28-06-2025 20:47,47,,3,Yes,19.243029,72.811787,0.82
C1007,D2,WiFiIssu,Defense trip source thought eight they cold player police style green effect adult skin.,Lo,21-07-2025 18:11,81,Clean Dept,3,Yes,19.030918,72.816401,0.34
C1008,C1,Trafic,There least book lose worker loss push fast TV different.,Critcal,15-07-2025 22:49,94,SmartWifiDept,,Yes,19.217739,73.008875,0.35
C1009,C2,Trafic,Notice final those opportunity oil despite organization billion board until break bank author very picture.,Hi,28-02-2025 08:21,24,SmartWifiDept,5,No,19.057708,72.916969,0.62
C1010,C1,Watr,Cut sort now will prepare lose management should sport challenge carry either.,Hi,07-10-2025 19:39,9,,5,Yes,19.14793,72.84906,0.57
C1011,B2,Watr,Offer leader argue read capital Mrs remain behavior war civil activity officer.,Hi,15-05-2025 21:12,102,,1,No,19.036863,73.06331,0.2
C1012,A1,Trafic,Country cost institution charge national coach clear.,Hi,05-09-2025 08:31,98,SmartWifiDept,2,No,19.274441,72.804043,0.08
C1013,B2,Trafic,Clearly figure identify go remain employee by forget mother catch beautiful wide write son.,,28-08-2025 03:38,116,,2,Yes,19.09063,72.908044,0.87
C1014,C2,Trafic,Civil find cell population story position keep bad care claim so at save nation.,Critcal,04-05-2025 04:51,47,Clean Dept,4,Yes,19.2954,72.942585,0.8
C1015,C2,Trafic,See job less threat federal town teacher.,Hi,19-01-2025 08:07,71,Clean Dept,,Yes,19.011283,72.817422,0.91
C1016,D1,Stret Light,Do bed church discuss these so who mission.,Lo,13-08-2025 00:56,32,Elect Dept,,Yes,19.044734,72.923311,0.08
C1017,A1,Pollutn,Threat adult imagine especially trial value receive effort product edge skin their former fine.,Lo,30-01-2025 18:05,89,Clean Dept,2,No,19.109107,73.052944,0.35
C1018,C1,Pollutn,Save mission baby word anything to size hear peace notice example tonight place source later.,Hi,07-10-2025 16:25,,Road Dept,10,No,19.101754,72.876949,0.6
