Citizen_ID,Area_Sector,Issue_Type,Complaint_Text,Severity_Level,Reported_Time,Resolution_Time_Hours,Assigned_Department,Satisfaction_Rating,Followup_Required,Latitude,Longitude,AI_Priority_Score
C1000,C2,Garbage,Leave past space behind almost same million recently state ability cut check room cup.,High,09-07-2025 23:27,54.0,Cleanliness Dept,4.0,Yes,19.253373,72.905014,0.2
C1001,A1,WiFi Issue,They above story will similar member message space garden reveal article care drop.,Low,24-07-2025 04:23,999.0,Electricity Dept,1.0,Yes,19.00265,73.032622,0.77
C1002,C1,Traffic,Five stage clear discuss training long go character knowledge yard shake gun area foot serve on.,Critical,13-02-2025 08:51,84.0,Smart Wifi Dept,2.0,Yes,19.253647,72.963361,0.16
C1003,A1,WiFi Issue,Certain maintain effect after official produce team most beautiful.,Low,10-02-2025 20:31,114.0,Water Dept,2.0,Yes,19.019061,72.903798,0.48
C1004,D1,Traffic,Prepare stand enjoy kind memory purpose carry start stand audience a know truth appear.,Low,05-11-2025 23:16,999.0,Water Dept,4.0,No,19.051554,73.01895,0.06
C1005,A1,Pothole,Clearly fall right success treat strong likely go.,Low,15-11-2025 20:52,72.0,Cleanliness Dept,1.0,Yes,19.182599,72.975922,0.99
C1006,D2,Garbage,State of alone model away through heart know whatever prevent.,Low,28-06-2025 20:47,47.0,Cleanliness Dept,3.0,Yes,19.243029,72.811787,0.82
C1007,D2,WiFi Issue,Defense trip source thought eight they cold player police style green effect adult skin.,Low,21-07-2025 18:11,81.0,Cleanliness Dept,3.0,Yes,19.030918,72.816401,0.34
C1008,C1,Traffic,There least book lose worker loss push fast TV different.,Critical,15-07-2025 22:49,94.0,Smart Wifi Dept,3.0,Yes,19.217739,73.008875,0.35
C1009,C2,Traffic,Notice final those opportunity oil despite organization billion board until break bank author very picture.,High,28-02-2025 08:21,24.0,Smart Wifi Dept,5.0,No,19.057708,72.916969,0.62
C1010,C1,Water,Cut sort now will prepare lose management should sport challenge carry either.,High,07-10-2025 19:39,9.0,Cleanliness Dept,5.0,Yes,19.14793,72.84906,0.57
C1011,B2,Water,Offer leader argue read capital Mrs remain behavior war civil activity officer.,High,15-05-2025 21:12,102.0,Cleanliness Dept,1.0,No,19.036863,73.06331,0.2
C1012,A1,Traffic,Country cost institution charge national coach clear.,High,05-09-2025 08:31,98.0,Smart Wifi Dept,2.0,No,19.274441,72.804043,0.08
C1013,B2,Traffic,Clearly figure identify go remain employee by forget mother catch beautiful wide write son.,Low,28-08-2025 03:38,116.0,Cleanliness Dept,2.0,Yes,19.09063,72.908044,0.87
C1014,C2,Traffic,Civil find cell population story position keep bad care claim so at save nation.,Critical,04-05-2025 04:51,47.0,Cleanliness Dept,4.0,Yes,19.2954,72.942585,0.8
C1015,C2,Traffic,See job less threat federal town teacher.,High,19-01-2025 08:07,71.0,Cleanliness Dept,3.0,Yes,19.011283,72.817422,0.91
C1016,D1,Street Light,Do bed church discuss these so who mission.,Low,13-08-2025 00:56,32.0,Electricity Dept,3.0,Yes,19.044734,72.923311,0.08
C1017,A1,Pollution,Threat adult imagine especially trial value receive effort product edge skin their former fine.,Low,30-01-2025 18:05,89.0,Cleanliness Dept,2.0,No,19.109107,73.052944,0.35
C1018,C1,Pollution,Save mission baby word anything to size hear peace notice example tonight place source later.,High,07-10-2025 16:25,63.5,Roads Dept,10.0,No,19.101754,72.876949,0.6
